ticker_symbol,text,created_at,compound
AMZN,"#Stocks breaking out in afternoon trading

$SPCE $OPK $AMZN $SE $MNST $BE $SHOP $LLNW $IOVA $GOOGL 

Scan updates every 5 secs.
#nyse #nasdaq
https://t.co/vtSCDzKHZU",2020-04-14 19:00:52+00:00,0
AMZN,RT @johnscharts: $AMZN monthly update https://t.co/1I1QIWNHcz https://t.co/OXstF6ZeX4,2020-04-14 18:55:54+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:55:47+00:00,0
AMZN,RT @FitradersRick: $amzn team trade...nice blue sky breakout https://t.co/OcwL3FTeWN,2020-04-14 18:54:01+00:00,0
AMZN,"Automation investments are likely to swell for $AMZN and others because of the #CoronavirusPandemic, experts say
New from @KatieArcieri
for @SPGMarketIntel https://t.co/3mMakfRHTT https://t.co/MIEBHsJusI",2020-04-14 18:53:00+00:00,0
AMZN,$amzn up 500 percent. We still hold. Targets matter,2020-04-14 18:51:32+00:00,0.026
AMZN,RT @KIERMCD: $AMZN $NFLX $TSLA I heard someone give this  group the acronym A.N.T today. Ants are known to be able to lift many times their…,2020-04-14 18:49:51+00:00,0
AMZN,"$AMZN adding to our model portfolio, https://t.co/0FprOwiHFE",2020-04-14 18:49:25+00:00,0
AMZN,long $AMZN $NFLX $BYND $SNPS $NVDA $AMD $MSFT $GOOGL $FB short junk $ZM https://t.co/dcGi9c0fIA,2020-04-14 18:46:51+00:00,0
AMZN,"RT @ReformedBroker: $AMZN new record high, up 21% YTD",2020-04-14 18:44:41+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:43:10+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:42:09+00:00,0
AMZN,RT @TMLTrader: $AMZN hits all-time high on above average volume as it breaks above 2185.95 pivot of its first stage cup base. https://t.co/…,2020-04-14 18:42:07+00:00,0
AMZN,RT @johnscharts: $AMZN monthly update https://t.co/OXstF6ZeX4,2020-04-14 18:40:51+00:00,0
AMZN,$AMZN is in viagra,2020-04-14 18:39:08+00:00,0
AMZN,$AMZN Latest 1 Hour Midday chart presented to clients @ https://t.co/c2fCVssy9t  #Elliottwave #AMZN #Stocks #Trading https://t.co/1pVZw9wdUx,2020-04-14 18:38:21+00:00,0
AMZN,RT @IamGrootTrader: Potential takeover for $NFLX $AMZN $DIS,2020-04-14 18:38:08+00:00,0
AMZN,Potential takeover for $NFLX $AMZN $DIS,2020-04-14 18:35:21+00:00,0
AMZN,RT @irrationalJoey: $AMZN break through 2300 and 2750 won’t be far behind 🤔,2020-04-14 18:34:05+00:00,0
AMZN,RT @johnscharts: $AMZN monthly update https://t.co/1I1QIWNHcz https://t.co/OXstF6ZeX4,2020-04-14 18:30:58+00:00,0
AMZN,"i just ... i can't

$AMZN https://t.co/siSdqjuzxC",2020-04-14 18:30:49+00:00,0
AMZN,$AMZN +35% since that tweet. 😀,2020-04-14 18:30:35+00:00,0
AMZN,$AMZN break through 2300 and 2750 won’t be far behind 🤔,2020-04-14 18:30:26+00:00,0
AMZN,$AMZN monthly update https://t.co/1I1QIWNHcz https://t.co/OXstF6ZeX4,2020-04-14 18:29:01+00:00,0
AMZN,@CNBC $AMZN Jeff is a seller at these levels.,2020-04-14 18:28:49+00:00,0
AMZN,#Long $2325 My Average target price $AMZN $2400 #MARKETS #EEUU https://t.co/UxmSj49hzf,2020-04-14 18:27:46+00:00,0
AMZN,@NorthmanTrader #Long $2325 My Average target price $AMZN $2400 #MARKETS #EEUU,2020-04-14 18:27:14+00:00,0
AMZN,"RT @gregorybent: Amazon's market cap is up $52 Billion, just Today = more than the entire market cap of Marriott, Hilton and Hyatt Combined…",2020-04-14 18:27:06+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:26:48+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:26:16+00:00,0
